instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_m2Dr6_s40_AB08 100000 100000 100000 100003 100003 100005 100006 100005 100000 100000 100001 100000 100000 100001 100002 100006 100001 100002 100001 100002 100002 100001
mcs10_m2Dr6_s40_AB09 100000 100000 100000 100003 100004 100004 100007 100005 63432 42883 34538 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 35246
mcs10_m2Dr6_s50_AB00 100000 100000 100000 100004 100004 100006 100008 100005 100000 100000 100001 100000 100000 100001 100002 100007 100002 100002 100002 100002 100002 100001
mcs10_m2Dr6_s50_AB01 100001 100000 100000 100004 100005 100007 100009 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100003 100002
mcs10_m2Dr6_s50_AB02 100001 100000 100000 100004 100005 100006 100008 100005 100000 100000 100001 100000 100000 100001 100003 100007 100002 100001 100002 100001 100002 100001
mcs10_m2Dr6_s50_AB03 100001 100000 100000 100004 100005 100006 100008 100005 100000 100000 100001 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100001
mcs10_m2Dr6_s50_AB04 100001 100000 100000 100003 100004 100006 100008 100006 100000 100000 100002 100000 100000 100001 100002 100007 100002 100003 100003 100002 100002 100001
mcs10_m2Dr6_s50_AB05 100000 100000 100000 100004 100005 100005 100008 100006 100000 100000 100002 100000 100000 100001 100002 100006 100002 100002 100002 100002 100002 100001
mcs10_m2Dr6_s50_AB06 100001 100000 100000 100004 100005 100007 100008 100006 100000 100000 100001 100000 100000 100001 100002 100007 100002 100003 100001 100002 100002 100001
mcs10_m2Dr6_s50_AB07 100001 100000 100000 100004 100005 100007 100008 100006 100000 100000 100002 100000 100000 100001 100002 100007 100002 100002 100002 100003 100002 100002
